condition,problem_id,topic,gold_issue,gaps,parse_success,gold_signature_hit,issue_hit,operational_success,response,raw_response,input_tokens,output_tokens,ttft_s,latency_s,truncated,done_reason,attempts,thinking_text,error,manual_override,manual_override_reason,audited_root_issue_found,audited_false_issue_added,audited_semantic_accuracy,audited_operational_success,audit_method,audit_note
Base-Instruct reviewer,R8,series convergence,Termwise convergence to zero is necessary but not sufficient for convergence of a series.,"[""The student's conclusion is incorrect: a_n tending to zero does not imply that the series sum a_n converges. A counterexample is provided in the reference solution (e.g., a_n = 1/n), where a_n → 0 but""]",True,False,False,False,"[""The student's conclusion is incorrect: a_n tending to zero does not imply that the series sum a_n converges. A counterexample is provided in the reference solution (e.g., a_n = 1/n), where a_n → 0 but ∑a_n diverges. The claim that 'the tails become arbitrarily small' is a common misconception — while it is true for convergent series, it is not sufficient for convergence; the necessary and sufficient condition for convergence is not just lim a_n = 0, but also the Cauchy criterion applied properly with the full series structure. The student fails to address that the tail behavior of a_n → 0 does not guarantee that the partial sums form a Cauchy sequence for the series."" ]","[""The student's conclusion is incorrect: a_n tending to zero does not imply that the series sum a_n converges. A counterexample is provided in the reference solution (e.g., a_n = 1/n), where a_n → 0 but ∑a_n diverges. The claim that 'the tails become arbitrarily small' is a common misconception — while it is true for convergent series, it is not sufficient for convergence; the necessary and sufficient condition for convergence is not just lim a_n = 0, but also the Cauchy criterion applied properly with the full series structure. The student fails to address that the tail behavior of a_n → 0 does not guarantee that the partial sums form a Cauchy sequence for the series."" ]<|im_end|>",503,157,0.1019166820000236,11.44646332900004,False,stop,,,,,,True,False,True,True,single_analyst_semantic_adjudication,Root issue is present and the required structured output parses.
Base-Instruct reviewer,R9,IVT existence versus uniqueness,"IVT gives existence, not uniqueness.","['The student incorrectly claims that IVT guarantees exactly one zero, but the reference solution states that IVT only guarantees at least one zero; uniqueness is not guaranteed without additional condi']",True,True,True,True,"[""The student incorrectly claims that IVT guarantees exactly one zero, but the reference solution states that IVT only guarantees at least one zero; uniqueness is not guaranteed without additional conditions like strict monotonicity.""]","[""The student incorrectly claims that IVT guarantees exactly one zero, but the reference solution states that IVT only guarantees at least one zero; uniqueness is not guaranteed without additional conditions like strict monotonicity.""]<|im_end|>",511,42,0.1001454529999819,3.036483383000018,False,stop,,,,,,True,False,True,True,single_analyst_semantic_adjudication,Root issue is present and the required structured output parses.
LoRA reviewer,N1,epsilon-delta limit / positivity,"L>0 does not imply L-1>0; epsilon must be tied to L, e.g. L/2.",,False,True,True,False,"The core idea is right but the choice of $\varepsilon=1$ is too crude — it may not even make $L-1>0$. To guarantee $f(x)>0$, you must choose $\varepsilon$ so small that $L-\varepsilon$ remains positive. What should $\varepsilon$ be chosen as?","The core idea is right but the choice of $\varepsilon=1$ is too crude — it may not even make $L-1>0$. To guarantee $f(x)>0$, you must choose $\varepsilon$ so small that $L-\varepsilon$ remains positive. What should $\varepsilon$ be chosen as?<|im_end|>",645,73,0.1589058570000361,9.544783655000174,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,N2,integral mean value theorem,"The average value need not lie between the endpoint values f(a), f(b); one must use global min/max carefully or apply MVT to an integral antiderivative.",,False,True,True,False,"The conclusion is right but the tool is wrong: the IVT needs the value to lie between the endpoint values — it doesn't guarantee a point with the average value. Also, the average need not lie between $f(a)$ and $f(b)$; $f$ may be negative. Which theorem should you use instead?","The conclusion is right but the tool is wrong: the IVT needs the value to lie between the endpoint values — it doesn't guarantee a point with the average value. Also, the average need not lie between $f(a)$ and $f(b)$; $f$ may be negative. Which theorem should you use instead?<|im_end|>",677,67,0.1580453720000605,8.860678863999965,False,stop,,,,,,True,True,False,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,N3,intermediate value theorem / shifted values,"The correct relation is g(1)=-g(0), not g(0)=g(1); equality of endpoint values alone would not force a zero.",,False,False,False,False,"The step ""since $f(0)=f(2)$, we have $g(0)=g(1)$"" is false — it's not true in general. What does $g(0)$ equal and what does $g(1)$ equal?","The step ""since $f(0)=f(2)$, we have $g(0)=g(1)$"" is false — it's not true in general. What does $g(0)$ equal and what does $g(1)$ equal?<|im_end|>",718,55,0.1551775079999515,7.057601988999977,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R1,epsilon-delta dependency,"Delta may depend only on epsilon, not on the varying x; first bound |x+2| uniformly.",,False,False,False,False,$\delta$ 不能隨 $x$ 變動，這裡把 $\delta$ 定成含 $x$ 的式子就是違法。教訓：$\delta$ 必須由 $x$ 的範圍與常數估計決定，不能依賴變動的因子。,$\delta$ 不能隨 $x$ 變動，這裡把 $\delta$ 定成含 $x$ 的式子就是違法。教訓：$\delta$ 必須由 $x$ 的範圍與常數估計決定，不能依賴變動的因子。<|im_end|>,547,64,0.1548700119999466,8.388174551999782,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R2,convergent sequence boundedness,The convergence estimate only bounds the tail; the finitely many terms before N must be bounded separately.,,False,True,True,False,"The conclusion holds only for $n\ge N$, not for every $n$. The finitely many terms $n<N$ are not covered by the tail estimate — you must mention them.","The conclusion holds only for $n\ge N$, not for every $n$. The finitely many terms $n<N$ are not covered by the tail estimate — you must mention them.<|im_end|>",543,41,0.1598556349999853,5.372853836000104,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R3,supremum approximation,A supremum need not belong to the set.,,False,False,False,False,"$s_n=\alpha$ does converge to $\sup S$, but it's not a sequence in $S$ — it's constant at $\sup S$. The problem asks for a sequence *in* $S$, so $\sup S$ must be an element of $S$. Why is that premise missing?","$s_n=\alpha$ does converge to $\sup S$, but it's not a sequence in $S$ — it's constant at $\sup S$. The problem asks for a sequence *in* $S$, so $\sup S$ must be an element of $S$. Why is that premise missing?<|im_end|>",520,63,0.1560357289999956,8.217790945999923,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R4,differentiability implies continuity,"The difference quotient is undefined at x=a; continuity follows from a limit product, not direct substitution.",,False,False,False,False,Substitution is not valid at the point itself — the limit is not equal to the value. The identity must be written first for $x\ne a$.,Substitution is not valid at the point itself — the limit is not equal to the value. The identity must be written first for $x\ne a$.<|im_end|>,532,33,0.1563457360000484,4.329369821,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R5,uniform continuity,"Heine-Cantor requires a compact domain; (0,1) is not compact.",,False,False,False,False,Heine-Cantor 需要「閉區間」而非開區間，故不能套用。教訓：Heine-Cantor 的前提是緊緻性。,Heine-Cantor 需要「閉區間」而非開區間，故不能套用。教訓：Heine-Cantor 的前提是緊緻性。<|im_end|>,521,39,0.1567367650000051,5.047583900000063,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R6,Mean Value Theorem hypotheses,Continuity alone is insufficient; differentiability on the whole open interval fails at zero.,,False,False,False,False,The student forgot to check differentiability — the MVT needs both continuity AND differentiability on the open interval.,The student forgot to check differentiability — the MVT needs both continuity AND differentiability on the open interval.<|im_end|>,527,23,0.1542739619999338,3.002807162999943,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R7,limit and integral interchange,Pointwise convergence alone does not justify exchanging limit and integral.,,False,False,False,False,"The conclusion assumes continuity of the integral passes through limits — which theorem is that, and what does it require?","The conclusion assumes continuity of the integral passes through limits — which theorem is that, and what does it require?<|im_end|>",543,23,0.155874231000098,3.018113410000069,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R8,series convergence,Termwise convergence to zero is necessary but not sufficient for convergence of a series.,,False,False,False,False,"The conclusion is false and the argument is invalid. The counterexample is simply stated: $a_n=1/n\to0$ yet $\sum1/n$ diverges. Why is the student's ""Cauchy"" argument wrong?","The conclusion is false and the argument is invalid. The counterexample is simply stated: $a_n=1/n\to0$ yet $\sum1/n$ diverges. Why is the student's ""Cauchy"" argument wrong?<|im_end|>",503,50,0.1535961629999747,6.503236978999894,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
LoRA reviewer,R9,IVT existence versus uniqueness,"IVT gives existence, not uniqueness.",,False,False,False,False,「exactly one」是多餘的結論，IVT 只保證存在性。教訓：不要把「單調」這個額外假設當成 IVT 自身給的。,「exactly one」是多餘的結論，IVT 只保證存在性。教訓：不要把「單調」這個額外假設當成 IVT 自身給的。<|im_end|>,511,44,0.1537650790000952,5.74671881900008,False,stop,,,,,,True,False,True,False,single_analyst_semantic_adjudication,"Root issue is present in prose, but the required structured output does not parse."
