blind_id,review_id,problem,review_language,verified_reference,student_attempt,gold_issue_for_rubric,reviewer_response,rater_id,root_issue_correct_0or1,false_issue_added_0or1,completeness_1to5,usable_for_tutor_0or1,notes
R-C3-high_logic_en-M2,C3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",en,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","Because [a,b] is uncountable but the rational numbers are countable, two inputs must have the same f-value. Therefore f is constant.","Pigeonhole gives only one repeated value, not equality of f at every pair; the proof needs an irrational intermediate value contradiction.","[""Collision does not imply constancy"", ""Continuity hypothesis omitted""]",,,,,,
R-C3-high_logic_en-M3,C3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",en,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.","Because [a,b] is uncountable but the rational numbers are countable, two inputs must have the same f-value. Therefore f is constant.","Pigeonhole gives only one repeated value, not equality of f at every pair; the proof needs an irrational intermediate value contradiction.","The argument ""uncountable domain meets countable range"" is not a theorem — it's a false intuition (e.g., the reals are uncountable yet you can map them to the rationals). What must be used instead?",,,,,,
R-C3-wrong_attempt-M1,C3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.",有理數對極限封閉。因為 f 連續而且所有函數值都是有理數，所以像集是閉集，因而只能是單點集。,有理數在實數中不是閉集，而且值域只含有理數並不能直接推出像集只有一點。,"[""學生草稿中斷言‘有理數對極限封閉’是錯誤的，因為有理數集在實數中不是閉集，其閉包是整個實數軸，故不能用此性質推出像集是閉集；且有理數集不封閉於極限運算，因此該步驟缺乏數學依據。""]",,,,,,
R-C3-wrong_attempt-M2,C3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.",有理數對極限封閉。因為 f 連續而且所有函數值都是有理數，所以像集是閉集，因而只能是單點集。,有理數在實數中不是閉集，而且值域只含有理數並不能直接推出像集只有一點。,"[""學生斷言有理數對極限封閉，但有理數集在實數中不對極限封閉（例如，存在有理數序列收斂到無理數）""]",,,,,,
R-C3-wrong_attempt-M3,C3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.",zh,"Suppose f is not constant. Then there are u,v in [a,b] with f(u)<f(v), after interchanging them if needed. Choose an irrational number alpha strictly between f(u) and f(v). By continuity on the interval between u and v, the Intermediate Value Theorem gives t with f(t)=alpha. This contradicts that every value of f is rational. Therefore f is constant.",有理數對極限封閉。因為 f 連續而且所有函數值都是有理數，所以像集是閉集，因而只能是單點集。,有理數在實數中不是閉集，而且值域只含有理數並不能直接推出像集只有一點。,[「有理數對極限不封閉」這個前提本身就不成立，故整個論證建立在虛假基礎上。],,,,,,
R-D1-wrong_attempt-M1,D1:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",zh,"Let x<y. By the Mean Value Theorem, for some c in (x,y), f(y)-f(x)=f'(c)(y-x)>0. Thus f(y)>f(x), so f is strictly increasing and hence one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,導數為正表示函數嚴格遞增，不表示函數值逐點為正；正函數仍可能重複取值。,[「f'(x)>0」推不出「f(x)>0」，這是兩個不同概念；正函數與單調不減是完全不同的事。'],,,,,,
R-D1-wrong_attempt-M2,D1:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",zh,"Let x<y. By the Mean Value Theorem, for some c in (x,y), f(y)-f(x)=f'(c)(y-x)>0. Thus f(y)>f(x), so f is strictly increasing and hence one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,導數為正表示函數嚴格遞增，不表示函數值逐點為正；正函數仍可能重複取值。,"[""在「每個 x 都有 f(x)>0」的推論中，從 f'(x)>0 不能推出 f(x)>0，例如 f(x)=x 滿足 f'(x)>0 但 f(0)=0"", ""在「正函數不可能取兩次相同的值」的陳述中，此斷言不成立，因為存在正函數（如 f(x)=1+x^2）取相同值（f(1)=f(-1)=2）""]",,,,,,
R-D1-wrong_attempt-M3,D1:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",zh,"Let x<y. By the Mean Value Theorem, for some c in (x,y), f(y)-f(x)=f'(c)(y-x)>0. Thus f(y)>f(x), so f is strictly increasing and hence one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,導數為正表示函數嚴格遞增，不表示函數值逐點為正；正函數仍可能重複取值。,"[
  ""學生錯誤地斷言 'f'(x)>0' 意味著 'f(x)>0'，這是錯誤的：導數為正並不能推出函數值為正，例如 f(x)=x 的導數為 1>0，但 f(0)=0。"",
  ""學生未證明 f 是一對一，僅憑 '正函數不可能取兩次相同值' 這句無根據的陳述，此結論缺乏數學依據且未建立在任何正確的邏輯鏈上。""
]",,,,,,
R-D2-wrong_attempt-M1,D2:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",zh,"If x=y the result is immediate. Otherwise apply the Mean Value Theorem on the interval with endpoints x and y. For some c between them, f(x)-f(y)=f'(c)(x-y). Taking absolute values gives |f(x)-f(y)|=|f'(c)||x-y|<=M|x-y|.",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,只有可微不足以直接對 f' 使用微積分基本定理；應由中值定理取得合法論證。,[「積分路線需要 $f'$ 可積（連續即可）這個前提，題目只給可微，未必成立」],,,,,,
R-D2-wrong_attempt-M2,D2:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",zh,"If x=y the result is immediate. Otherwise apply the Mean Value Theorem on the interval with endpoints x and y. For some c between them, f(x)-f(y)=f'(c)(x-y). Taking absolute values gives |f(x)-f(y)|=|f'(c)||x-y|<=M|x-y|.",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,只有可微不足以直接對 f' 使用微積分基本定理；應由中值定理取得合法論證。,[Thinking 模型未產生可用的最終回答],,,,,,
R-D2-wrong_attempt-M3,D2:wrong_attempt,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",zh,"If x=y the result is immediate. Otherwise apply the Mean Value Theorem on the interval with endpoints x and y. For some c between them, f(x)-f(y)=f'(c)(x-y). Taking absolute values gives |f(x)-f(y)|=|f'(c)||x-y|<=M|x-y|.",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,只有可微不足以直接對 f' 使用微積分基本定理；應由中值定理取得合法論證。,"[""The student's argument skips the application of the Mean Value Theorem or a valid integration-based justification, and does not verify that the integral of |f'(t)| over [min(x,y), max(x,y)] is bounded by M|x-y|, which requires justification that |f'(t)| ≤ M implies ∫|f'(t)| dt ≤ M|x−y| — this step is not justified or explicitly stated, even though it may seem obvious.""]",,,,,,
R-D3-high_logic-M1,D3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,導數不一定連續；結論雖正確，但此論證加入了未給定的連續性，應直接使用 Rolle 定理。,"[
  ""學生草稿中假設「導數是連續的」，但題目僅給出 f 為連續且在 (a,b) 可微，並未假設 f' 連續，因此不能由此推出 f' 同號。這是無根據的假設。"",
  ""學生草稿中直接斷言「f 單調」，但未證明：由 f'(x)≠0 不能推出 f 單調，除非有 f' 不變號，而這需要 f' 連續或至少在區間內同號，此處未建立。""
]",,,,,,
R-D3-high_logic-M2,D3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,導數不一定連續；結論雖正確，但此論證加入了未給定的連續性，應直接使用 Rolle 定理。,「導數連續」並非題假設，不能當前提引用。若 f' 不連續，即使永不為零，f 仍可能非單調。,,,,,,
R-D3-high_logic-M3,D3:high_logic,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,導數不一定連續；結論雖正確，但此論證加入了未給定的連續性，應直接使用 Rolle 定理。,"[""在「而且導數是連續的」這一步，學生假設導數連續，但題目中未給此條件。""]",,,,,,
R-D3-high_logic_en-M1,D3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",en,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.","Since f'(x) is never zero and derivatives are continuous, f' has one sign. Thus f is monotone and has at most one zero.","A derivative need not be continuous; the conclusion is true, but this proof inserts an unstated continuity assumption instead of using Rolle's theorem directly.","[""Assumes f' is continuous, which is not given in the problem""]",,,,,,
R-D3-high_logic_en-M2,D3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",en,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.","Since f'(x) is never zero and derivatives are continuous, f' has one sign. Thus f is monotone and has at most one zero.","A derivative need not be continuous; the conclusion is true, but this proof inserts an unstated continuity assumption instead of using Rolle's theorem directly.","The draft uses continuity of the derivative — which is not given — to conclude f' has one sign. Without C8, monotonicity cannot be concluded.",,,,,,
R-D3-high_logic_en-M3,D3:high_logic_en,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",en,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.","Since f'(x) is never zero and derivatives are continuous, f' has one sign. Thus f is monotone and has at most one zero.","A derivative need not be continuous; the conclusion is true, but this proof inserts an unstated continuity assumption instead of using Rolle's theorem directly.","[
  ""Derivatives are not necessarily continuous, so assuming f' is continuous is invalid."",
  ""The conclusion that f' having one sign implies f is monotone requires justification beyond just f' ≠ 0; this step is not logically valid without additional assumptions (like continuity of f')."",
  ""The claim that f has at most one zero follows from monotonicity, but monotonicity itself is not established without continuity of f'.""
]",,,,,,
R-D3-wrong_attempt-M1,D3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",如果 f 有兩個零點，中值定理會給出兩點之間某個 c 使 f(c)=0，這與 f' 的假設矛盾。,中值定理或 Rolle 定理的結論是 f'(c)=0，不是 f(c)=0；真正的矛盾必須落在導數。,中值定理（MVT）給的是「斜率」而非「函數值」為零。Rolle 才能從兩端同值推出 f'(c)=0。,,,,,,
R-D3-wrong_attempt-M2,D3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",如果 f 有兩個零點，中值定理會給出兩點之間某個 c 使 f(c)=0，這與 f' 的假設矛盾。,中值定理或 Rolle 定理的結論是 f'(c)=0，不是 f(c)=0；真正的矛盾必須落在導數。,"[
  ""在應用中值定理時，學生誤用了中值定理（Mean Value Theorem），正確應使用羅爾定理（Rolle's Theorem）；而中值定理的結論是存在 c ∈ (x₁,x₂) 使得 f'(c) = \\frac{f(x_2)-f(x_1)}{x_2-x_1}，但並不能推出 f(c)=0，因此此步驟是錯誤的。"",
  ""學生未明確指出假設 f 有兩個零點 x₁ < x₂，並由此構造區間 [x₁,x₂] 上的連續可微函數，也未提及 Rolle's Theorem 的前提條件（即 f(x₁)=f(x₂)）與其結論 f'(c)=0 的推導過程，導致邏輯鏈斷裂。""
]",,,,,,
R-D3-wrong_attempt-M3,D3:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",zh,"Suppose f had two distinct zeros x_1<x_2 in [a,b]. The restriction of f to [x_1,x_2] is continuous and is differentiable on (x_1,x_2). Since f(x_1)=f(x_2)=0, Rolle's theorem gives c in (x_1,x_2) with f'(c)=0, contradicting the hypothesis. Hence f has at most one zero.",如果 f 有兩個零點，中值定理會給出兩點之間某個 c 使 f(c)=0，這與 f' 的假設矛盾。,中值定理或 Rolle 定理的結論是 f'(c)=0，不是 f(c)=0；真正的矛盾必須落在導數。,"[""草稿中聲稱中值定理會給出兩點之間某個 c 使 f(c)=0，但中值定理的結論是存在 c 使得 f'(c) 等於平均變化率，而非 f(c) 為零。"", ""草稿中 f(c)=0 這與 f'(x) ≠ 0 的假設無直接矛盾，而實際上應是 f'(c)=0 與 f'(x) ≠ 0 矛盾。""]",,,,,,
R-I1-wrong_attempt-M1,I1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).",zh,"In the right-hand integral set u=1-x, so du=-dx. As x goes from 0 to 1, u goes from 1 to 0. Therefore integral_0^1 f(1-x) dx = integral_1^0 f(u)(-du)=integral_0^1 f(u)du, which is the left-hand integral after renaming u.","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",代換時還必須處理微分與上下限反向，不能只靠更換符號就宣稱相等。,"[""換元是正式手法，不能靠「區間相同」就斷言兩積分相等；這需要變動變數後重算。""]",,,,,,
R-I1-wrong_attempt-M2,I1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).",zh,"In the right-hand integral set u=1-x, so du=-dx. As x goes from 0 to 1, u goes from 1 to 0. Therefore integral_0^1 f(1-x) dx = integral_1^0 f(u)(-du)=integral_0^1 f(u)du, which is the left-hand integral after renaming u.","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",代換時還必須處理微分與上下限反向，不能只靠更換符號就宣稱相等。,"[""學生聲稱「積分區間仍是 [0,1]」，但未說明變數替換後區間實際為 [1,0] 而非 [0,1]"",""學生未證明被積函數 f(1-x) 與 f(x) 通過變數替換相關，因此兩個積分相等""]",,,,,,
R-I1-wrong_attempt-M3,I1:wrong_attempt,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).",zh,"In the right-hand integral set u=1-x, so du=-dx. As x goes from 0 to 1, u goes from 1 to 0. Therefore integral_0^1 f(1-x) dx = integral_1^0 f(u)(-du)=integral_0^1 f(u)du, which is the left-hand integral after renaming u.","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",代換時還必須處理微分與上下限反向，不能只靠更換符號就宣稱相等。,"[""學生未進行變數代換的正式設定，缺少變數代換的步驟與變數範圍變化說明，導致缺乏嚴謹性；\n\""x 換成 1-x\"" 的說法未明確指出變數代換過程，也未說明如何處理 dx 和積分限的變化；\n未提及變數代換後的積分限從 [0,1] 變為 [1,0] 並利用 du = -dx 來翻轉積分限；\n未明確指出變數重命名（如 u）與原積分的等價性，因此缺乏對等積分的嚴格推導。""]",,,,,,
R-I2-wrong_attempt-M1,I2:wrong_attempt,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",zh,"Suppose f(x_0)>0 for some x_0. By continuity, f(x)>=f(x_0)/2 on a nondegenerate one-sided or two-sided interval around x_0 contained in [a,b]. Since f is nonnegative elsewhere, the integral over [a,b] is then strictly positive, contradicting that it is zero. Hence no such x_0 exists and f is identically zero.",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,連續非負函數只有一個零點並不能推出恆為零；必須假設存在正值點，再用其正值鄰域導出積分為正。,[「中間值定理給出 f(c)=0」這個結論本身並不能推出「f 全零」，因為 f 可能只在一點為零而別處正。要靠連續性才能從 f(c)=0 推到 f 全零，但這一步你自己跳過了。'],,,,,,
