blind_id,problem_id,problem,verified_reference,student_draft,reviewer_response,rater_id,root_issue_correct_0or1,false_issue_added_0or1,completeness_1to5,usable_for_tutor_0or1,notes
R-R2-M3,R2,Prove that every convergent real sequence is bounded.,"Choose N so n>=N implies |a_n-L|<1, hence |a_n|<|L|+1; combine this tail bound with the maximum of the finitely many initial absolute values.","Since a_n converges to L, choose N so n>=N gives |a_n|<|L|+1. Therefore |a_n|<|L|+1 for every n and the sequence is bounded.","[""The student assumes that |a_n| < |L| + 1 for every n without justifying that the tail behavior extends to all n; the initial terms (n < N) are not addressed, so the bound for the entire sequence is incomplete.""]",,,,,,
R-R3-M1,R3,"If S is nonempty and bounded above, prove there is a sequence in S converging to sup S.",For each n choose s_n in S with sup S-1/n < s_n <= sup S; the squeeze theorem gives s_n -> sup S.,"Because alpha=sup S is the least upper bound, alpha belongs to S. Take s_n=alpha for all n.","[""學生在 'alpha 屬於 S' 這一步錯誤地斷言 sup S 屬於 S，但題目中 S 只是非空有上界，sup S 不一定在 S 中（例如 S = (0,1)）""]",,,,,,
R-R3-M2,R3,"If S is nonempty and bounded above, prove there is a sequence in S converging to sup S.",For each n choose s_n in S with sup S-1/n < s_n <= sup S; the squeeze theorem gives s_n -> sup S.,"Because alpha=sup S is the least upper bound, alpha belongs to S. Take s_n=alpha for all n.","$s_n=\alpha$ does converge to $\sup S$, but it's not a sequence in $S$ — it's constant at $\sup S$. The problem asks for a sequence *in* $S$, so $\sup S$ must be an element of $S$. Why is that premise missing?",,,,,,
R-R3-M3,R3,"If S is nonempty and bounded above, prove there is a sequence in S converging to sup S.",For each n choose s_n in S with sup S-1/n < s_n <= sup S; the squeeze theorem gives s_n -> sup S.,"Because alpha=sup S is the least upper bound, alpha belongs to S. Take s_n=alpha for all n.","[""The student incorrectly assumes that sup S belongs to S, which is not true in general for a nonempty bounded above set S. A supremum need not be an element of S; for example, S = (0,1) has sup S = 1, but 1 ∉ S. Therefore, the choice s_n = α for all n is invalid because α may not be in S.""]",,,,,,
R-R4-M1,R4,Prove that differentiability of f at a implies continuity at a.,Write f(x)-f(a)=((f(x)-f(a))/(x-a))(x-a) for x!=a and take limits; the factors tend to f'(a) and 0.,"Since f'(a)=lim_{x->a}(f(x)-f(a))/(x-a), substitute x=a to obtain f(a)-f(a)=0, proving continuity.","[
  ""The student incorrectly substitutes x=a into the definition of the derivative, which is not valid because the expression (f(x)-f(a))/(x-a) is undefined at x=a and the limit is only defined as x approaches a, not at x=a.""
 ]",,,,,,
R-R4-M2,R4,Prove that differentiability of f at a implies continuity at a.,Write f(x)-f(a)=((f(x)-f(a))/(x-a))(x-a) for x!=a and take limits; the factors tend to f'(a) and 0.,"Since f'(a)=lim_{x->a}(f(x)-f(a))/(x-a), substitute x=a to obtain f(a)-f(a)=0, proving continuity.","[""In the substitution step where the student substitutes x=a, they assume that (f(x)-f(a))/(x-a) is defined at x=a without justification, but it is undefined for differentiable functions.""]",,,,,,
R-R4-M3,R4,Prove that differentiability of f at a implies continuity at a.,Write f(x)-f(a)=((f(x)-f(a))/(x-a))(x-a) for x!=a and take limits; the factors tend to f'(a) and 0.,"Since f'(a)=lim_{x->a}(f(x)-f(a))/(x-a), substitute x=a to obtain f(a)-f(a)=0, proving continuity.",Substitution is not valid at the point itself — the limit is not equal to the value. The identity must be written first for $x\ne a$.,,,,,,
R-R5-M1,R5,"Decide whether every continuous function on (0,1) is uniformly continuous.","The statement is false; f(x)=1/x is continuous on (0,1) but not uniformly continuous, as points near zero can be arbitrarily close while their values stay far apart.","Every continuous function on an interval is uniformly continuous, so continuity on (0,1) is enough by Heine-Cantor.","[""The claim that every continuous function on an interval is uniformly continuous is false, as counterexamples exist such as f(x) = 1/x on (0,1)."", ""Heine-Cantor theorem requires the domain to be compact, but (0,1) is not compact, so its premise is not satisfied.""]",,,,,,
R-R5-M2,R5,"Decide whether every continuous function on (0,1) is uniformly continuous.","The statement is false; f(x)=1/x is continuous on (0,1) but not uniformly continuous, as points near zero can be arbitrarily close while their values stay far apart.","Every continuous function on an interval is uniformly continuous, so continuity on (0,1) is enough by Heine-Cantor.",Heine-Cantor 需要「閉區間」而非開區間，故不能套用。教訓：Heine-Cantor 的前提是緊緻性。,,,,,,
R-R5-M3,R5,"Decide whether every continuous function on (0,1) is uniformly continuous.","The statement is false; f(x)=1/x is continuous on (0,1) but not uniformly continuous, as points near zero can be arbitrarily close while their values stay far apart.","Every continuous function on an interval is uniformly continuous, so continuity on (0,1) is enough by Heine-Cantor.","[""The student incorrectly assumes that every continuous function on an interval is uniformly continuous, which is false; the Heine-Cantor theorem requires the domain to be closed and bounded (compact), whereas (0,1) is open and not compact, so the theorem does not apply.""]",,,,,,
R-R6-M1,R6,"Can the Mean Value Theorem be applied to f(x)=|x| on [-1,1]?","No: although f is continuous on [-1,1], it is not differentiable at 0, so the Mean Value Theorem hypotheses fail.","The function is continuous, so MVT gives c in (-1,1) with f'(c)=(f(1)-f(-1))/2=0.",The student forgot to check differentiability — the MVT needs both continuity AND differentiability on the open interval.,,,,,,
R-R6-M2,R6,"Can the Mean Value Theorem be applied to f(x)=|x| on [-1,1]?","No: although f is continuous on [-1,1], it is not differentiable at 0, so the Mean Value Theorem hypotheses fail.","The function is continuous, so MVT gives c in (-1,1) with f'(c)=(f(1)-f(-1))/2=0.","[""The student incorrectly assumes that the Mean Value Theorem applies without verifying differentiability at 0; the function |x| is not differentiable at x=0, so the hypotheses of MVT are not satisfied.""]",,,,,,
R-R6-M3,R6,"Can the Mean Value Theorem be applied to f(x)=|x| on [-1,1]?","No: although f is continuous on [-1,1], it is not differentiable at 0, so the Mean Value Theorem hypotheses fail.","The function is continuous, so MVT gives c in (-1,1) with f'(c)=(f(1)-f(-1))/2=0.","[""The student did not verify that f is differentiable on (-1,1) when claiming MVT applies to f on [-1,1].""]",,,,,,
R-R7-M1,R7,"Does pointwise convergence of continuous f_n on [0,1] justify interchanging limit and integral?",No in general; f_n(x)=n x(1-x^2)^n is continuous and converges pointwise to 0 while its integrals do not converge to the integral of 0 without an additional theorem such as dominated or uniform convergence.,"Each f_n is continuous and f_n(x) converges pointwise to f(x), so lim integral f_n equals integral f by continuity.","The conclusion assumes continuity of the integral passes through limits — which theorem is that, and what does it require?",,,,,,
R-R7-M2,R7,"Does pointwise convergence of continuous f_n on [0,1] justify interchanging limit and integral?",No in general; f_n(x)=n x(1-x^2)^n is continuous and converges pointwise to 0 while its integrals do not converge to the integral of 0 without an additional theorem such as dominated or uniform convergence.,"Each f_n is continuous and f_n(x) converges pointwise to f(x), so lim integral f_n equals integral f by continuity.","[""In the step 'so lim integral f_n equals integral f by continuity', the student does not specify any additional conditions (e.g., uniform convergence or dominated convergence) necessary for interchanging limit and integral."", ""The student references 'continuity' as the justification for interchanging limit and integral, but this is not valid without verifying the necessary conditions such as uniform convergence.""]",,,,,,
R-R7-M3,R7,"Does pointwise convergence of continuous f_n on [0,1] justify interchanging limit and integral?",No in general; f_n(x)=n x(1-x^2)^n is continuous and converges pointwise to 0 while its integrals do not converge to the integral of 0 without an additional theorem such as dominated or uniform convergence.,"Each f_n is continuous and f_n(x) converges pointwise to f(x), so lim integral f_n equals integral f by continuity.","[""The student incorrectly assumes that pointwise convergence of continuous functions justifies interchanging limit and integral without any additional conditions such as uniform convergence or domination; this is a mathematical error as shown by the counterexample provided in the reference proof.""]",,,,,,
R-R8-M1,R8,"If a_n tends to zero, must the series sum a_n converge?",No; the harmonic sequence a_n=1/n tends to zero but the harmonic series diverges.,"Yes. Since a_n tends to zero, the tails become arbitrarily small, so the partial sums form a Cauchy sequence.","The conclusion is false and the argument is invalid. The counterexample is simply stated: $a_n=1/n\to0$ yet $\sum1/n$ diverges. Why is the student's ""Cauchy"" argument wrong?",,,,,,
R-R8-M2,R8,"If a_n tends to zero, must the series sum a_n converge?",No; the harmonic sequence a_n=1/n tends to zero but the harmonic series diverges.,"Yes. Since a_n tends to zero, the tails become arbitrarily small, so the partial sums form a Cauchy sequence.","[""In the step 'the tails become arbitrarily small', the student does not specify what 'tails' refers to."", ""The student incorrectly assumes that a_n → 0 implies the tail sums tend to zero, but this is not true for the harmonic series.""]",,,,,,
R-R8-M3,R8,"If a_n tends to zero, must the series sum a_n converge?",No; the harmonic sequence a_n=1/n tends to zero but the harmonic series diverges.,"Yes. Since a_n tends to zero, the tails become arbitrarily small, so the partial sums form a Cauchy sequence.","[""The student's conclusion is incorrect: a_n tending to zero does not imply that the series sum a_n converges. A counterexample is provided in the reference solution (e.g., a_n = 1/n), where a_n → 0 but ∑a_n diverges. The claim that 'the tails become arbitrarily small' is a common misconception — while it is true for convergent series, it is not sufficient for convergence; the necessary and sufficient condition for convergence is not just lim a_n = 0, but also the Cauchy criterion applied properly with the full series structure. The student fails to address that the tail behavior of a_n → 0 does not guarantee that the partial sums form a Cauchy sequence for the series."" ]",,,,,,
R-R9-M1,R9,"If a continuous f satisfies f(0)<0<f(1), what does IVT guarantee?","IVT guarantees at least one zero in (0,1); uniqueness requires an additional condition such as strict monotonicity.","IVT guarantees exactly one c in (0,1) with f(c)=0 because the endpoint signs are opposite.","[""The student incorrectly claims that IVT guarantees exactly one zero, but IVT only guarantees at least one zero; uniqueness requires additional conditions such as strict monotonicity.""]",,,,,,
R-R9-M2,R9,"If a continuous f satisfies f(0)<0<f(1), what does IVT guarantee?","IVT guarantees at least one zero in (0,1); uniqueness requires an additional condition such as strict monotonicity.","IVT guarantees exactly one c in (0,1) with f(c)=0 because the endpoint signs are opposite.","[""The student incorrectly claims that IVT guarantees exactly one zero, but the reference solution states that IVT only guarantees at least one zero; uniqueness is not guaranteed without additional conditions like strict monotonicity.""]",,,,,,
R-R9-M3,R9,"If a continuous f satisfies f(0)<0<f(1), what does IVT guarantee?","IVT guarantees at least one zero in (0,1); uniqueness requires an additional condition such as strict monotonicity.","IVT guarantees exactly one c in (0,1) with f(c)=0 because the endpoint signs are opposite.",「exactly one」是多餘的結論，IVT 只保證存在性。教訓：不要把「單調」這個額外假設當成 IVT 自身給的。,,,,,,
