problem_id,topic,difficulty,statement,student_attempt_zh,target_history_tokens,interference,response,blind_id,教學契約保持_1to5,數學方向正確_1to5,是否只推進一個步驟_1to5,是否抓到最根本漏洞_1to5,評語
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,conflict,"你取了 $ g(x) = \operatorname{sign}(f(x)) $，但這個函數在 $ f(x) = 0 $ 的點上是未定義的，而且即使 $ f $ 是連續的，$ \operatorname{sign}(f(x)) $ 也不一定連續——更嚴重的是，它可能在 $ f(x) = 0 $ 的點附近不連續，而違反了「$ g $ 必須是連續函數」的前提。

請問：**你如何確保 $ \operatorname{sign}(f(x)) $ 是連續函數？**  
（特別是當 $ f $ 在某點為零時，這個函數會有跳躍嗎？）",AD-0045,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,neutral,"你說「函數從不等於零，所以它不可能變號」——這聽起來很直覺，但請問：**你怎麼知道「不等於零」就意味著「不會變號」？**  

能不能舉出一個連續函數，在區間內不為零，卻實際上變號的例子？（即使你覺得不可能，我們還是要確認邏輯上的漏洞。）  

→ 哪一步假設是「隱藏」的？",AD-0009,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,neutral,若 f 連續且 f(a) > 0，f(b) < 0，會有零點嗎？,AD-0232,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",2048,neutral,在證明中，f 的連續性有沒有被使用？,AD-0237,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",8192,neutral,"你說「因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——這一步的邏輯漏洞在於：**即使 f 只取有理數值，也不能推出 f 在不可數區間上取值重複**。

請問：你怎麼知道「f 取值重複」是必然發生的？  
有理數可數，但 f 的值域是可數的，這是否足以保證至少兩點有相同 f 值？  

→ 現在請問：**如果 f 是連續函數，它在 [a,b] 上的值域會是什麼樣子？**",AD-0014,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,conflict,你說「函數從不等於零，所以它不可能變號」——但為什麼「不等於零」就意味著「不會變號」呢？我們能不能想一個連續函數，在區間內永遠不為零，卻仍然在某點由正變負（或反之）？,AD-0085,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,0,neutral,有界數列是否必然收斂？,AD-0271,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,neutral,"你說「在被積函數中把 x 換成 1−x」，這是一個很自然的想法。但請問：**你有明確寫出變數替換後的積分表達式，並確認它與原積分在形式上等價嗎？**  
特別是，你是否真的驗證了變數替換後的積分限與被積函數的變化，能完整地「重構」原積分？  

（提示：不要只說「區間一樣」，要問：**變數替換後的積分，是否真的等於原積分？**）",AD-0034,,,,,
S3,Sequences and Series,hard,"Prove that if a power series \(\sum c_nx^n\) converges at \(x=r>0\), then it converges absolutely for every \(x\) with \(|x|<r\).",使用比值判別法：|c_{n+1}x^{n+1}/(c_nx^n)|=|x|/r<1，因為級數在 r 收斂。,8192,neutral,"你說「|c_{n+1}x^{n+1}/(c_nx^n)| = |x|/r < 1」，但這個等式成立的前提是什麼？  
你是否真的有理由說 $\left|\frac{c_{n+1}}{c_n}\right|$ 是有界的，或者它與 $1/r$ 有關？  

請問：你怎麼知道 $\left|\frac{c_{n+1}}{c_n}\right| \leq \frac{1}{r}$ 對所有 $n$ 成立？",AD-0059,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,0,neutral,"你直接將 $|f'(x)| \le M$ 從 $y$ 到 $x$ 積分，是想用微分不等式推出函數的 Lipschitz 性質。但這裡有一個關鍵問題：  
**你如何確保積分能控制 $|f(x) - f(y)|$？**

請問：在沒有假設 $f$ 是連續或可積的條件下，僅由 $f$ 可微且 $|f'(x)| \le M$，我們能否保證 $f(x) - f(y)$ 等於 $\int_y^x f'(t)\,dt$？  

（提示：這其實是整個證明的根基——你是否真的知道這個等式成立？）",AD-0021,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,8192,neutral,f'(x)>0 意味著 f(x) > 0 吗？,AD-0244,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,2048,conflict,"你說「因為 $f'(x) > 0$，所以每個 $x$ 都有 $f(x) > 0$」——這是一個關鍵錯誤。

請問：**函數的導數為正，是否意味著函數值本身為正？**  
（例如：$f(x) = x$，在 $\mathbb{R}$ 上導數是 1 > 0，但 $f(0) = 0$，不是正數。）  

請重新思考：導數描述的是函數的變化率，而不是函數值的正負。  

→ 現在請問：**我們如何從 $f'(x) > 0$ 推出 $f$ 是一對一的？**  
（提示：考慮兩個點 $a < b$，並想辦法比較 $f(a)$ 和 $f(b)$）",AD-0018,,,,,
I2,Integration,medium,"Prove that if \(f\) is continuous on \([a,b]\), \(\int_a^b f(x)\,dx=0\), and \(f(x)\ge 0\) for all \(x\), then \(f(x)=0\) for all \(x\in[a,b]\).",積分平均值是零，所以積分中值定理給出某個 c 使 f(c)=0。再由連續性可得所有 x 都有 f(x)=0。,8192,conflict,f 連續且 f(c)=0 時，f(x) 是否一定為零？請給一個反例。,AD-0265,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,neutral,你選擇的 \(g(x) = \text{sign}(f(x))\) 是連續函數嗎？,AD-0119,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",8192,neutral,"你說「[a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——但這一步成立嗎？為什麼有理數可數就意味著 f 必須取重複值？請問：f 取值的範圍是哪些有理數？是否可能每個有理數只被取一次？",AD-0089,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",8192,neutral,"你說「x^n 趨近零」，但這在整個區間 [0,1] 上成立嗎？特別是當 x = 1 時呢？",AD-0149,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,8192,conflict,你說「把 |f'| ≤ M 從 y 積分到 x」，這意味著你打算寫出 ∫_y^x |f'(t)| dt ≤ M|x−y|。但這裡有一個關鍵問題：**f' 是可積的嗎？** 且你如何確保這個積分能控制 |f(x) − f(y)|？請先回答：f 在 ℝ 上可微，是否足以保證 f' 是可積的？,AD-0100,,,,,
L1,Limits,easy,"Prove that if \(a_n\to 0\) and \((b_n)\) is bounded, then \(a_nb_n\to 0\).",由極限的乘法法則，lim(a_n b_n)=(lim a_n)(lim b_n)=0，所以乘積趨近零。,2048,conflict,你假設了 \(\lim b_n\) 存在，但題目只說 \((b_n)\) 是有界的——這是否構成根本漏洞？,AD-0138,,,,,
I3,Integration,hard,"Prove that if \(f\) is continuous on \([a,b]\) and \(\int_a^b f(x)g(x)\,dx=0\) for every continuous function \(g\), then \(f(x)=0\) for all \(x\in[a,b]\).",取 g(x)=sign(f(x))，則假設給出 integral_a^b |f(x)| dx=0，所以 f=0。,8192,conflict,g(x) = sign(f(x)) 有沒有間斷點？,AD-0270,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,0,neutral,「最後 a_n 等於 L」正是這個證明的致命誤解。數列趨近 L 只表示它的值可以任意接近 L，但真的會等於 L 嗎？,AD-0216,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,2048,neutral,"你說「最後 a_n 會等於 L」——這是否符合數列趨近的定義？  
請問：數列趨近 L 意味著什麼？它是否意味著某項 a_n 真的會等於 L？",AD-0067,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",8192,neutral,x=1 時，x^n 的極限是什麼？,AD-0299,,,,,
S1,Sequences and Series,easy,"Prove that if \(\sum a_n\) converges absolutely and \((b_n)\) is bounded, then \(\sum a_nb_n\) converges absolutely.",有界數列 b_n 必收斂到某個 B，因此 a_n b_n 的行為像 B a_n，所以級數絕對收斂。,8192,conflict,"錯誤地假設「有界數列 $b_n$ 必收斂」是關鍵漏洞。

請問：你是否能舉出一個有界但不收斂的數列 $b_n$？例如 $b_n = (-1)^n$？若如此，這個反例會如何影響你的證明？",AD-0050,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",8192,conflict,"你說「在被積函數中把 x 換成 1−x」，這是一個很好的直覺，但請問：**你有明確地說明變數替換的過程，並確認積分限在變換下不變嗎？**  

特別是，你是否真的知道：  
> 若 $ u = 1 - x $，則當 $ x = 0 $ 時 $ u = 1 $，當 $ x = 1 $ 時 $ u = 0 $，且 $ dx = -du $，  
> 所以 $ \int_0^1 f(1-x)\,dx = \int_1^0 f(u)(-du) = \int_0^1 f(u)\,du $，  

這才是嚴謹的證明。  

請問你是否已經寫出這個變數替換的完整推導",AD-0035,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,2048,conflict,不連續時，\(f(x) \neq 0\) 但變號是否可能？,AD-0233,,,,,
L2,Limits,medium,"Prove that if \(a_n\to L\) and \(f\) is continuous at \(L\), then \(f(a_n)\to f(L)\).",因為 a_n 趨近 L，所以最後 a_n 會等於 L，因此最後 f(a_n)=f(L)，這就證明了收斂。,8192,conflict,"你說「最後 aₙ 會等於 L」——這是一個關鍵錯誤。

請問：數列收斂到 L，是否意味著存在某項 n₀，使得對所有 n ≥ n₀，都有 aₙ = L？  
（換句話說：數列趨近 L，是否一定會「到達」L？）",AD-0070,,,,,
C3,Continuity,hard,"Prove that if \(f\) is continuous on \([a,b]\) and takes only rational values, then \(f\) is constant.","因為 [a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值，因此 f 是常數函數。",8192,conflict,"你說「[a,b] 不可數而有理數可數，所以必有兩個輸入具有相同的 f 值」——但這是否能推出 f 的值是重複的？為什麼有理數可數就意味著 f 必須取相同值？請問：一個函數可以取可數多個值，卻仍不一定是常數，這點你考慮過嗎？",AD-0090,,,,,
D3,Differentiation,hard,"Prove that if \(f\) is continuous on \([a,b]\) and differentiable on \((a,b)\), and if \(f'(x)\neq 0\) for all \(x\in(a,b)\), then \(f\) has at most one zero in \([a,b]\).",因為 f'(x) 永不為零，而且導數是連續的，所以 f' 同號，故 f 單調並且至多有一個零點。,0,neutral,"你假設了「導數是連續的」，但題目只給出 f 是連續且在 (a,b) 可微，並未說 f' 連續。這是否影響你的結論？請問：若 f'(x) ≠ 0 在 (a,b) 成立，能否僅由可微性推出 f' 同號，而不需導數連續？",AD-0101,,,,,
C1,Continuity,easy,"Prove that if \(f\) is continuous on \([0,1]\) and \(f(x)>0\) for every \(x\in[0,1]\), then there exists \(c>0\) such that \(f(x)\ge c\) for all \(x\in[0,1]\).","因為每一點都有 f(x)>0，所以令 c=inf_{x in [0,1]} f(x)。那麼 c 自動大於 0，因此結論成立。",0,neutral,,AD-0226,,,,,
D2,Differentiation,medium,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(|f'(x)|\le M\) for all \(x\), then \(|f(x)-f(y)|\le M|x-y|\) for all real \(x,y\).",直接把不等式 |f'|<=M 從 y 積分到 x，就立即得到 |f(x)-f(y)|<=M|x-y|。,2048,conflict,"你說「把 |f'| ≤ M 從 y 積分到 x」，這意味著你打算用積分來表示 f(x) − f(y)。但積分法要成立，必須先確保 f'(x) 是可積的，而且 f(x) − f(y) 的差值能被寫成什麼樣的積分形式？  
請問：在什麼條件下，我們可以將 f(x) − f(y) 表示為 ∫_y^x f'(t) dt？",AD-0098,,,,,
L3,Limits,hard,"Prove that if \(f\) is continuous on \([0,1]\), then \(\lim_{n\to\infty}\int_0^1 f(x)x^n\,dx=0\).","對每個 x in [0,1]，x^n 都趨近零，所以 f(x)x^n 逐點趨近零；逐點收斂一定允許交換極限與積分。",0,neutral,"你說「x^n 趨近零」，這在 [0,1) 上成立，但當 x = 1 時呢？請問：f 在 x=1 的鄰域附近，x^n 的行為是否仍能被控制？",AD-0146,,,,,
I1,Integration,easy,"Prove that if \(f\) is continuous on \([0,1]\), then \(\int_0^1 f(x)\,dx=\int_0^1 f(1-x)\,dx\).","在被積函數中把 x 換成 1-x。因為積分區間仍是 [0,1]，兩個積分自動相等。",0,neutral,"你說「把 x 換成 1−x，積分區間仍是 [0,1]，所以兩者相等」——這聽起來很直覺，但請問：**當你做變數代換時，積分限是否真的不變？變數代換會改變被積函數的形式，但你有沒有確認變數代換後的積分變數與原積分的關係？**",AD-0031,,,,,
C2,Continuity,medium,"Prove that if \(f\) is continuous on \([a,b]\) and \(f(x)\neq 0\) for all \(x\in[a,b]\), then \(f\) has the same sign on all of \([a,b]\).",函數從不等於零，所以它不可能變號，因此在整個區間上同號。,8192,conflict,「從不等於零」確實排除了零點，但連續性還沒被用上。若 \(f\) 只是不為零卻不連續，它真的一定保持同一正負號嗎？,AD-0160,,,,,
D1,Differentiation,easy,"Prove that if \(f\) is differentiable on \(\mathbb{R}\) and \(f'(x)>0\) for all \(x\in\mathbb{R}\), then \(f\) is one-to-one.",因為 f'(x)>0，所以每個 x 都有 f(x)>0。正函數不可能取兩次相同的值，因此 f 是一對一。,0,neutral,「f(x)>0」是局部斜率為正所推出的結論嗎？,AD-0166,,,,,
